

Data analysis for each instance 
AVG,MED,MAX,MIN
-0.456,-0.469,0,-0.478,
-0.412,-0.454,0.011,-0.454,
-0.211,-0.229,0.088,-0.259,
-0.481,-0.491,-0.005,-0.519,
-0.34,-0.362,0,-0.389,
-0.105,-0.098,0,-0.279,
-0.356,-0.384,0,-0.431,
-0.344,-0.409,0,-0.462,
-0.388,-0.436,0.043,-0.436,
-0.257,-0.286,0,-0.304,
-0.245,-0.251,0.055,-0.333,
-0.222,-0.236,0.001,-0.26,
-0.386,-0.408,0,-0.408,
-0.225,-0.226,0.05,-0.338,
-0.429,-0.443,0,-0.481,
-0.287,-0.364,0,-0.401,
-0.294,-0.303,0,-0.393,
-0.276,-0.289,0,-0.291,
-0.248,-0.262,0,-0.317,
-0.292,-0.312,-0.014,-0.351,
-0.366,-0.387,0,-0.429,
-0.218,-0.226,0.035,-0.301,
-0.274,-0.281,0,-0.346,
-0.443,-0.483,0.067,-0.555,
-0.363,-0.434,0,-0.435,
-0.409,-0.43,0,-0.452,
-0.418,-0.428,0.022,-0.473,
-0.5,-0.523,0.017,-0.543,
-0.243,-0.258,0,-0.34,
-0.325,-0.331,0,-0.331,
-0.246,-0.278,0,-0.294,
-0.259,-0.373,0,-0.414,
-0.353,-0.371,0,-0.407,
-0.314,-0.389,0.084,-0.441,
-0.47,-0.483,0.122,-0.496,
-0.414,-0.456,0,-0.485,
-0.084,-0.071,0,-0.275,
-0.322,-0.406,0.055,-0.449,
-0.429,-0.453,0,-0.494,
-0.419,-0.458,0,-0.531,
-0.005,-0.006,0,-0.023,
-0.222,-0.229,0,-0.353,
-0.045,-0.048,0.069,-0.175,
-0.266,-0.28,0,-0.356,
-0.24,-0.243,0,-0.3,
-0.028,-0.03,0.065,-0.158,
-0.262,-0.263,0,-0.406,
-0.228,-0.239,0,-0.248,
-0.027,-0.023,0,-0.081,
-0.204,-0.205,0,-0.316,
-0.355,-0.377,0,-0.5,
-0.362,-0.377,0,-0.433,
-0.362,-0.386,0,-0.475,
-0.253,-0.264,0,-0.339,
-0.389,-0.408,0,-0.444,
-0.267,-0.281,0.003,-0.335,
-0.224,-0.225,0,-0.299,
-0.361,-0.386,0,-0.419,
-0.425,-0.439,0,-0.447,
-0.365,-0.407,0.071,-0.471,
-0.376,-0.371,0.072,-0.417,
-0.452,-0.461,0.162,-0.494,
-0.354,-0.373,0.019,-0.465,
-0.438,-0.448,0,-0.508,
-0.007,-0.001,0.048,-0.048,
-0.041,-0.029,0,-0.188,
-0.216,-0.213,0,-0.281,
-0.379,-0.387,0,-0.399,
-0.199,-0.231,0.007,-0.296,
-0.259,-0.263,0,-0.35,
-0.285,-0.299,0.028,-0.341,
-0.394,-0.403,0,-0.425,
-0.345,-0.368,0,-0.368,
-0.355,-0.444,0,-0.453,
-0.262,-0.274,0.036,-0.339,
-0.22,-0.231,0,-0.276,
-0.432,-0.443,0,-0.449,
-0.442,-0.455,0.096,-0.523,
-0.28,-0.357,0,-0.44,
-0.236,-0.243,0,-0.293,
-0.01,0,0,-0.078,
-0.314,-0.338,0,-0.338,
-0.233,-0.248,0,-0.312,
-0.39,-0.411,0,-0.427,
-0.485,-0.512,0.157,-0.546,
-0.265,-0.273,0,-0.395,
-0.239,-0.245,0,-0.285,
-0.249,-0.254,0.004,-0.427,
-0.281,-0.286,0,-0.359,
-0.259,-0.268,0.093,-0.373,
-0.2,-0.212,0.036,-0.29,
-0.432,-0.484,0,-0.552,
-0.012,-0.008,0,-0.016,
-0.359,-0.366,0.092,-0.417,
-0.28,-0.292,0.004,-0.368,
-0.218,-0.234,0.002,-0.294,
-0.309,-0.384,0,-0.439,
-0.429,-0.453,0,-0.453,
-0.427,-0.447,0,-0.447,
-0.388,-0.408,0.102,-0.445,
-0.042,-0.015,0,-0.173,
-0.269,-0.31,0,-0.446,
-0.252,-0.272,0,-0.361,
-0.424,-0.454,0,-0.455,
-0.246,-0.257,-0.007,-0.307,
-0.256,-0.257,0,-0.321,
-0.306,-0.307,0,-0.443,
-0.241,-0.267,0,-0.308,
-0.25,-0.26,0,-0.329,
-0.424,-0.449,0,-0.484,
-0.206,-0.213,0,-0.362,
-0.387,-0.405,0,-0.421,
-0.416,-0.459,0,-0.474,
-0.305,-0.324,0,-0.369,
-0.033,-0.018,0,-0.146,
-0.073,-0.063,0,-0.258,
-0.425,-0.454,0.002,-0.505,
-0.382,-0.398,0,-0.405,
-0.277,-0.293,0.027,-0.394,
-0.053,-0.056,0.073,-0.154,
-0.46,-0.501,0.062,-0.548,
-0.202,-0.202,-0.016,-0.331,
-0.181,-0.198,0,-0.226,
-0.259,-0.263,0.032,-0.309,
-0.371,-0.397,0.153,-0.436,
-0.313,-0.314,0,-0.35,
-0.436,-0.471,0,-0.475,
-0.201,-0.192,0.109,-0.468,
-0.398,-0.431,0,-0.46,
-0.271,-0.286,0,-0.417,
-0.349,-0.368,0,-0.384,
-0.29,-0.283,0,-0.374,
-0.379,-0.369,0,-0.445,
-0.409,-0.453,0,-0.453,
-0.104,-0.094,0,-0.31,
-0.068,-0.063,0,-0.199,
-0.458,-0.484,0,-0.499,
-0.386,-0.399,0,-0.43,
-0.314,-0.328,0,-0.328,
-0.418,-0.438,0,-0.484,
-0.182,-0.181,0.057,-0.255,
-0.303,-0.388,0,-0.44,
-0.37,-0.378,-0.009,-0.403,
-0.439,-0.472,0.008,-0.479,
-0.301,-0.319,0,-0.386,
-0.291,-0.315,0,-0.377,
-0.25,-0.253,0,-0.446,
-0.408,-0.428,0,-0.434,
-0.307,-0.308,0.047,-0.442,
-0.24,-0.257,0.075,-0.341,
-0.458,-0.465,-0.023,-0.48,
-0.429,-0.452,0,-0.5,
-0.181,-0.182,0,-0.297,
-0.266,-0.273,0,-0.337,
-0.053,-0.035,0,-0.207,
-0.287,-0.314,0.137,-0.403,
-0.346,-0.398,0,-0.421,
-0.452,-0.486,0.052,-0.486,
-0.046,-0.037,0,-0.189,
-0.244,-0.272,0,-0.335,
-0.337,-0.347,0,-0.431,
-0.275,-0.287,0,-0.397,
-0.298,-0.46,0.066,-0.478,
-0.266,-0.268,-0.039,-0.311,
-0.258,-0.266,0.075,-0.312,
-0.272,-0.299,-0.001,-0.377,
-0.395,-0.429,0.058,-0.495,
-0.033,-0.028,0,-0.114,
-0.233,-0.236,0.025,-0.316,
-0.424,-0.471,0,-0.471,
-0.424,-0.466,0,-0.466,
-0.101,-0.088,0,-0.346,
-0.226,-0.228,0,-0.292,
-0.179,-0.176,0.059,-0.334,
-0.361,-0.384,0,-0.429,
-0.243,-0.252,0,-0.371,
-0.24,-0.26,0,-0.302,
-0.01,0,0,-0.073,
-0.45,-0.464,0,-0.474,
-0.451,-0.465,0.108,-0.471,
-0.267,-0.275,0,-0.367,
-0.342,-0.399,0.075,-0.487,
-0.365,-0.355,0,-0.488,
-0.38,-0.394,0,-0.444,
-0.297,-0.3,0,-0.348,
-0.055,-0.043,0,-0.244,
-0.433,-0.45,0.05,-0.494,
-0.299,-0.312,0.076,-0.365,
-0.274,-0.276,0.002,-0.33,
-0.039,-0.039,0,-0.116,
-0.297,-0.304,0,-0.37,
-0.455,-0.48,0.132,-0.484,
-0.453,-0.47,0,-0.504,
-0.522,-0.548,0.038,-0.563,
-0.43,-0.456,0,-0.459,
-0.286,-0.301,0.003,-0.355,
0,0,0,0,
-0.153,-0.151,0.002,-0.31,
-0.084,-0.07,0,-0.306,
-0.233,-0.243,-0.008,-0.326,
-0.385,-0.452,0.003,-0.476,
-0.411,-0.413,0,-0.436,
-0.259,-0.283,0.003,-0.295,
-0.419,-0.446,0,-0.447,
-0.193,-0.089,0.075,-0.471,
-0.236,-0.245,0,-0.355,
-0.311,-0.333,0,-0.391,
-0.498,-0.52,0,-0.525,
-0.44,-0.451,0.103,-0.502,
-0.396,-0.43,0,-0.449,
-0.451,-0.482,0,-0.507,
-0.47,-0.478,0.078,-0.492,
-0.251,-0.253,-0.013,-0.363,
-0.381,-0.394,0,-0.416,
-0.375,-0.382,0,-0.428,
-0.09,-0.069,0,-0.307,
-0.477,-0.491,0,-0.491,
-0.189,-0.201,-0.025,-0.251,
-0.213,-0.225,0,-0.261,
-0.247,-0.255,0,-0.316,
-0.435,-0.461,0,-0.476,
-0.289,-0.277,0.021,-0.45,
-0.414,-0.427,0.022,-0.427,
-0.479,-0.502,0.071,-0.517,
-0.457,-0.462,0,-0.482,
-0.274,-0.288,0,-0.343,
-0.038,-0.036,0,-0.141,
-0.238,-0.252,0,-0.285,
-0.38,-0.403,0.043,-0.412,
-0.347,-0.365,0,-0.416,
-0.369,-0.398,-0.001,-0.426,
-0.176,-0.188,0,-0.262,
-0.423,-0.445,0.059,-0.521,
-0.391,-0.374,0,-0.465,
-0.27,-0.282,0,-0.335,
-0.476,-0.492,0.107,-0.52,
-0.356,-0.375,0,-0.377,
-0.384,-0.392,0,-0.482,
-0.004,0,0,-0.023,
-0.281,-0.306,0,-0.306,
-0.422,-0.453,0,-0.485,
-0.253,-0.262,0,-0.319,
-0.259,-0.269,0.034,-0.329,
-0.407,-0.453,0,-0.454,
-0.49,-0.497,0.014,-0.501,
-0.247,-0.265,0,-0.32,
-0.227,-0.237,0,-0.338,
-0.187,-0.197,0,-0.308,
-0.247,-0.262,0,-0.329,
-0.494,-0.518,0,-0.52,
-0.242,-0.245,0.073,-0.389,
-0.458,-0.477,0,-0.511,
-0.341,-0.368,0,-0.432,
-0.455,-0.493,0,-0.493,
-0.294,-0.311,0,-0.424,
-0.412,-0.417,0,-0.436,
-0.285,-0.295,0.004,-0.406,
-0.385,-0.404,0,-0.478,
-0.44,-0.462,-0.002,-0.492,
-0.44,-0.467,0,-0.48,
-0.19,-0.195,0,-0.279,
-0.351,-0.368,0,-0.411,
-0.325,-0.344,0,-0.383,
-0.447,-0.461,0.05,-0.465,
-0.353,-0.359,0.066,-0.428,
-0.211,-0.223,0,-0.353,
-0.429,-0.454,0,-0.465,
-0.439,-0.446,0.02,-0.472,
-0.253,-0.259,0,-0.328,
-0.227,-0.234,0,-0.297,
