

Data analysis for each instance£º 
AVG,MED,MAX,MIN
0.067,0.042,0.266,0,
0.094,0.074,0.318,0,
0.096,0.067,0.256,0,
0.23,0.255,0.258,0,
0.144,0.151,0.223,0,
0.099,0.101,0.177,0,
0.052,0.045,0.131,0,
0.134,0.129,0.273,0,
0.194,0.207,0.258,0,
0.11,0.079,0.262,0,
0.118,0.079,0.254,0,
0.127,0.133,0.2,0,
0.171,0.16,0.319,0,
0.111,0.11,0.2,0,
0.096,0.1,0.157,0,
0.132,0.154,0.156,0,
0.233,0.243,0.362,0,
0.087,0.081,0.205,0,
0.165,0.174,0.235,0,
0.196,0.211,0.262,0,
0.152,0.148,0.269,0,
0.113,0.117,0.195,0,
0.135,0.144,0.188,0,
0.089,0.078,0.22,0,
0.117,0.109,0.221,0,
0.1,0.096,0.218,0,
0.141,0.118,0.287,0,
0.128,0.117,0.213,0,
0.098,0.082,0.291,0,
0.095,0.096,0.164,0,
0.143,0.152,0.199,0,
0.095,0.111,0.12,0,
0.164,0.179,0.2,0,
0.178,0.222,0.222,0,
0.159,0.162,0.25,0,
0.093,0.057,0.364,0,
0.121,0.1,0.335,0,
0.098,0.101,0.168,0,
0.11,0.119,0.145,0,
0.133,0.14,0.2,0,
0.103,0.105,0.179,0,
0.164,0.189,0.197,0,
0.178,0.183,0.288,0,
0.157,0.171,0.209,0,
0.103,0.098,0.221,0,
0.109,0.083,0.338,0,
0.106,0.108,0.18,0,
0.11,0.105,0.281,0,
0.097,0.099,0.167,0,
0.083,0.086,0.139,0,
0.145,0.141,0.295,0,
0.235,0.235,0.361,0,
0.163,0.175,0.218,0,
0.101,0.12,0.267,-0.08,
0.23,0.253,0.269,0,
0.165,0.201,0.203,0,
0.163,0.172,0.233,0,
0.121,0.119,0.204,0,
0.13,0.143,0.161,0,
0.249,0.256,0.432,0,
0.201,0.221,0.237,0,
0.262,0.286,0.327,0,
0.187,0.191,0.296,0,
0.05,0.076,0.078,-0.078,
0.153,0.157,0.202,0,
0.217,0.239,0.261,0,
0.092,0.085,0.178,0,
0.129,0.076,0.358,0,
0.243,0.252,0.349,0,
0.19,0.207,0.239,0,
0.227,0.262,0.262,0,
0.102,0.113,0.131,0,
0.119,0.039,0.428,0,
0.109,0.106,0.177,0,
0.066,0.067,0.119,0,
0.107,0.068,0.272,0,
0.126,0.135,0.172,0,
0.227,0.249,0.278,0,
0.133,0.132,0.228,0,
0.237,0.231,0.328,0,
0.247,0.265,0.337,0,
0.248,0.261,0.378,0,
0.116,0.124,0.17,0,
0.167,0.143,0.29,0,
0.108,0.114,0.158,0,
0.1,0.082,0.259,0,
0.096,0.045,0.34,0,
0.08,0.083,0.129,0,
0.047,0.048,0.086,0,
0.13,0.139,0.172,0,
0.103,0.104,0.156,0,
0.095,0.095,0.177,0,
0.147,0.16,0.193,0,
0.204,0.227,0.227,0,
0.147,0.146,0.236,0,
0.085,0.083,0.153,0,
0.18,0.198,0.21,0,
0.108,0.109,0.19,0,
0.043,0.047,0.051,0,
0.126,0.11,0.339,0,
0.112,0.141,0.141,0,
0.183,0.193,0.262,0,
0.133,0.12,0.324,0,
0.107,0.075,0.379,0,
0.108,0.111,0.176,0,
0.096,0.097,0.177,0,
0.139,0.156,0.201,0,
0.157,0.144,0.247,0,
0.212,0.234,0.245,0,
0.245,0.265,0.33,0,
0.147,0.155,0.217,0,
0.177,0.194,0.21,0,
0.21,0.234,0.236,0,
0.172,0.182,0.248,0,
0.17,0.172,0.288,0,
0.099,0.103,0.158,0,
0.072,0.074,0.126,0,
0.129,0.131,0.224,0,
0.166,0.186,0.196,0,
0.106,0.117,0.156,-0.025,
0.193,0.213,0.22,0,
0.109,0.111,0.196,0,
0.091,0.06,0.314,0,
0.122,0.093,0.354,0,
0.201,0.221,0.234,0,
0.177,0.193,0.213,0,
0.101,0.086,0.241,0,
0.131,0.127,0.281,0,
0.238,0.263,0.273,0,
0.098,0.097,0.168,0,
0.225,0.248,0.263,0,
0.1,0.105,0.154,0,
0.181,0.19,0.269,0,
0.217,0.229,0.312,0,
0.186,0.199,0.266,0,
0.085,0.071,0.258,0,
0.1,0.103,0.17,0,
0.157,0.155,0.304,0,
0.135,0.141,0.201,0,
0.126,0.134,0.182,0,
0.219,0.221,0.393,0,
0.191,0.189,0.341,0,
0.057,0.059,0.095,0,
0.032,0.039,0.142,-0.106,
0.126,0.1,0.398,0,
0.234,0.252,0.305,0,
0.131,0.119,0.336,0,
0.083,0.083,0.142,0,
0.219,0.243,0.247,0,
0.132,0.136,0.201,0,
0.141,0.105,0.32,0,
0.084,0.063,0.273,0,
0.07,0.071,0.128,0,
0.205,0.229,0.229,0,
0.17,0.177,0.272,0,
0.107,0.08,0.331,0,
0.131,0.133,0.227,0,
0.154,0.169,0.186,0,
0.128,0.099,0.383,0,
0.141,0.142,0.242,0,
0.133,0.132,0.237,0,
0.145,0.115,0.276,0,
0.132,0.127,0.246,0,
0.147,0.154,0.223,0,
0.101,0.094,0.246,0,
0.116,0.15,0.15,0,
0.134,0.124,0.225,0,
0.156,0.169,0.203,0,
0.098,0.105,0.135,0,
0.206,0.232,0.232,0,
0.22,0.246,0.246,0,
0.047,0.056,0.056,0,
0.182,0.2,0.212,0,
0.15,0.155,0.244,0,
0.137,0.146,0.182,0,
0.102,0.085,0.318,0,
0.183,0.197,0.244,0,
0.141,0.141,0.259,0,
0.166,0.162,0.34,0,
0.178,0.18,0.336,0,
0.082,0.084,0.138,0,
0.183,0.185,0.331,0,
0.154,0.165,0.212,0,
0.091,0.078,0.251,0,
0.149,0.178,0.178,0,
0.126,0.116,0.273,0,
0.18,0.197,0.226,0,
0.074,0.067,0.184,0,
0.169,0.208,0.208,0,
0.13,0.135,0.21,0,
0.047,0.048,0.084,0,
0.145,0.12,0.402,0,
0.193,0.214,0.216,0,
0.115,0.101,0.28,0,
0.085,0.07,0.259,0,
0.089,0.079,0.187,0,
0.169,0.158,0.328,0,
0.162,0.172,0.233,0,
0.115,0.096,0.244,0,
0.118,0.076,0.356,0,
0.221,0.246,0.246,0,
0.131,0.137,0.224,0,
0.052,0.056,0.077,0,
0.124,0.095,0.34,0,
0.173,0.189,0.213,0,
0.2,0.242,0.242,0,
0.188,0.205,0.225,0,
0.172,0.164,0.356,0,
0.149,0.15,0.256,0,
0.165,0.173,0.247,0,
0.104,0.096,0.199,0,
0.167,0.174,0.261,0,
0.138,0.145,0.207,0,
0.191,0.19,0.372,0,
0.1,0.087,0.248,0,
0.132,0.143,0.165,0,
0.172,0.154,0.299,0,
0.108,0.101,0.213,0,
0.113,0.111,0.204,0,
0.148,0.149,0.253,0,
0.162,0.17,0.251,0,
0.078,0.056,0.277,0,
0.141,0.15,0.236,0,
0.139,0.147,0.211,0,
0.169,0.182,0.211,0,
0.065,0.067,0.112,0,
0.16,0.177,0.19,0,
0.1,0.121,0.131,0,
0.192,0.224,0.224,0,
0.167,0.166,0.321,0,
0.118,0.128,0.172,0,
0.099,0.105,0.154,0,
0.116,0.109,0.228,0,
0.085,0.086,0.155,0,
0.132,0.104,0.369,0,
0.051,0.045,0.14,0,
0.125,0.13,0.19,0,
0.085,0.078,0.164,0,
0.115,0.121,0.173,0,
0.13,0.103,0.394,0,
0.145,0.096,0.368,0,
0.194,0.211,0.266,0,
0.182,0.161,0.342,0,
0.2,0.221,0.232,0,
0.097,0.085,0.239,0,
0.092,0.064,0.232,0,
0.147,0.137,0.308,0,
0.137,0.147,0.184,0,
0.121,0.125,0.202,0,
0.223,0.249,0.249,0,
0.123,0.123,0.227,0,
